Date,Symbol,Order,Shares
2010-02-01,ML4T-240,SELL,100
2010-02-08,ML4T-240,BUY,100
2010-02-09,ML4T-240,SELL,100
2010-02-17,ML4T-240,BUY,100
2010-02-18,ML4T-240,SELL,100
2010-02-25,ML4T-240,BUY,100
2010-02-26,ML4T-240,SELL,100
2010-03-05,ML4T-240,BUY,100
2010-03-08,ML4T-240,SELL,100
2010-03-15,ML4T-240,BUY,100
2010-03-16,ML4T-240,SELL,100
2010-03-23,ML4T-240,BUY,100
2010-03-24,ML4T-240,BUY,100
2010-03-31,ML4T-240,SELL,100
2010-04-01,ML4T-240,BUY,100
2010-04-09,ML4T-240,SELL,100
2010-04-12,ML4T-240,BUY,100
2010-04-19,ML4T-240,SELL,100
2010-04-20,ML4T-240,SELL,100
2010-04-27,ML4T-240,BUY,100
2010-04-28,ML4T-240,SELL,100
2010-05-05,ML4T-240,BUY,100
2010-05-06,ML4T-240,SELL,100
2010-05-13,ML4T-240,BUY,100
2010-05-14,ML4T-240,SELL,100
2010-05-21,ML4T-240,BUY,100
2010-05-24,ML4T-240,SELL,100
2010-06-01,ML4T-240,BUY,100
2010-06-02,ML4T-240,BUY,100
2010-06-09,ML4T-240,SELL,100
2010-06-10,ML4T-240,BUY,100
2010-06-17,ML4T-240,SELL,100
2010-06-18,ML4T-240,BUY,100
2010-06-25,ML4T-240,SELL,100
2010-06-28,ML4T-240,BUY,100
2010-07-06,ML4T-240,SELL,100
2010-07-07,ML4T-240,SELL,100
2010-07-14,ML4T-240,BUY,100
2010-07-15,ML4T-240,SELL,100
2010-07-22,ML4T-240,BUY,100
2010-07-23,ML4T-240,SELL,100
2010-07-30,ML4T-240,BUY,100
2010-08-02,ML4T-240,SELL,100
2010-08-09,ML4T-240,BUY,100
2010-08-10,ML4T-240,SELL,100
2010-08-17,ML4T-240,BUY,100
2010-08-18,ML4T-240,BUY,100
2010-08-25,ML4T-240,SELL,100
2010-08-26,ML4T-240,BUY,100
2010-09-02,ML4T-240,SELL,100
2010-09-03,ML4T-240,BUY,100
2010-09-13,ML4T-240,SELL,100
2010-09-14,ML4T-240,BUY,100
2010-09-21,ML4T-240,SELL,100
2010-09-22,ML4T-240,SELL,100
2010-09-29,ML4T-240,BUY,100
2010-09-30,ML4T-240,SELL,100
2010-10-07,ML4T-240,BUY,100
2010-10-08,ML4T-240,SELL,100
2010-10-15,ML4T-240,BUY,100
2010-10-18,ML4T-240,SELL,100
2010-10-25,ML4T-240,BUY,100
2010-10-26,ML4T-240,SELL,100
2010-11-02,ML4T-240,BUY,100
2010-11-03,ML4T-240,SELL,100
2010-11-10,ML4T-240,BUY,100
2010-11-11,ML4T-240,BUY,100
2010-11-18,ML4T-240,SELL,100
2010-11-19,ML4T-240,BUY,100
2010-11-29,ML4T-240,SELL,100
2010-11-30,ML4T-240,BUY,100
2010-12-07,ML4T-240,SELL,100
2010-12-08,ML4T-240,SELL,100
2010-12-15,ML4T-240,BUY,100
2010-12-16,ML4T-240,SELL,100
2010-12-23,ML4T-240,BUY,100
2010-12-27,ML4T-240,SELL,100
2011-01-03,ML4T-240,BUY,100
2011-01-04,ML4T-240,SELL,100
2011-01-11,ML4T-240,BUY,100
2011-01-12,ML4T-240,SELL,100
2011-01-20,ML4T-240,BUY,100
2011-01-21,ML4T-240,BUY,100
2011-01-28,ML4T-240,SELL,100
2011-01-31,ML4T-240,BUY,100
2011-02-07,ML4T-240,SELL,100
2011-02-08,ML4T-240,BUY,100
2011-02-15,ML4T-240,SELL,100
2011-02-16,ML4T-240,BUY,100
2011-02-24,ML4T-240,SELL,100
2011-02-25,ML4T-240,SELL,100
2011-03-04,ML4T-240,BUY,100
2011-03-07,ML4T-240,SELL,100
2011-03-14,ML4T-240,BUY,100
2011-03-15,ML4T-240,SELL,100
2011-03-22,ML4T-240,BUY,100
2011-03-23,ML4T-240,SELL,100
2011-03-30,ML4T-240,BUY,100
2011-03-31,ML4T-240,SELL,100
2011-04-07,ML4T-240,BUY,100
2011-04-08,ML4T-240,BUY,100
2011-04-15,ML4T-240,SELL,100
2011-04-18,ML4T-240,BUY,100
2011-04-26,ML4T-240,SELL,100
2011-04-27,ML4T-240,BUY,100
2011-05-04,ML4T-240,SELL,100
2011-05-05,ML4T-240,BUY,100
2011-05-12,ML4T-240,SELL,100
2011-05-13,ML4T-240,SELL,100
2011-05-20,ML4T-240,BUY,100
2011-05-23,ML4T-240,SELL,100
2011-05-31,ML4T-240,BUY,100
2011-06-01,ML4T-240,SELL,100
2011-06-08,ML4T-240,BUY,100
2011-06-09,ML4T-240,SELL,100
2011-06-16,ML4T-240,BUY,100
2011-06-17,ML4T-240,SELL,100
2011-06-24,ML4T-240,BUY,100
2011-06-27,ML4T-240,BUY,100
2011-07-05,ML4T-240,SELL,100
2011-07-06,ML4T-240,BUY,100
2011-07-13,ML4T-240,SELL,100
2011-07-14,ML4T-240,BUY,100
2011-07-21,ML4T-240,SELL,100
2011-07-22,ML4T-240,BUY,100
2011-07-29,ML4T-240,SELL,100
2011-08-01,ML4T-240,SELL,100
2011-08-08,ML4T-240,BUY,100
2011-08-09,ML4T-240,SELL,100
2011-08-16,ML4T-240,BUY,100
2011-08-17,ML4T-240,SELL,100
2011-08-24,ML4T-240,BUY,100
2011-08-25,ML4T-240,SELL,100
2011-09-01,ML4T-240,BUY,100
2011-09-02,ML4T-240,SELL,100
2011-09-12,ML4T-240,BUY,100
2011-09-13,ML4T-240,SELL,100
2011-09-20,ML4T-240,BUY,100
2011-09-21,ML4T-240,BUY,100
2011-09-28,ML4T-240,SELL,100
2011-09-29,ML4T-240,BUY,100
2011-10-06,ML4T-240,SELL,100
2011-10-07,ML4T-240,BUY,100
2011-10-14,ML4T-240,SELL,100
2011-10-17,ML4T-240,SELL,100
2011-10-24,ML4T-240,BUY,100
2011-10-25,ML4T-240,SELL,100
2011-11-01,ML4T-240,BUY,100
2011-11-02,ML4T-240,SELL,100
2011-11-09,ML4T-240,BUY,100
2011-11-10,ML4T-240,SELL,100
2011-11-17,ML4T-240,BUY,100
2011-11-18,ML4T-240,SELL,100
2011-11-28,ML4T-240,BUY,100
2011-11-29,ML4T-240,SELL,100
2011-12-06,ML4T-240,BUY,100
2011-12-07,ML4T-240,BUY,100
2011-12-14,ML4T-240,SELL,100
2011-12-15,ML4T-240,BUY,100
2011-12-22,ML4T-240,SELL,100
2011-12-23,ML4T-240,BUY,100
